LAT,LON,CLASS,cid,COUNTRY,AFFILIATION,TYPE,tid,FUNCTION,env,pid,INSTANCE,mob,speed,EMITTER_NAME,rtype,rid,EMITTER_FUNCTION,WAVEFORM_N,RF_MIN,RF_MAX,PRI_MIN,PRI_MAX,PW_MIN,PW_MAX,,,,,
28.820503,50.964266,S-300 PMU-2,5,IRAN,Hostile ,GroundPlatformInstance,1,AD SITE,Ground,85,BUSH AD SITE 1,0,0,64N6E_BUSH,RadarInstance,1,TARGET ACQUISITION (TA),1,2900,3000,2490,3043,19.4,19.6,,,,,
28.820503,50.964266,S-300 PMU-2,5,IRAN,Hostile ,GroundPlatformInstance,1,AD SITE,Ground,85,BUSH AD SITE 1,0,0,96L6E_BUSH,RadarInstance,2,FIRE CONTROL (FC),1,4000,4100,16.5,33.667,33,34,,,,,
0,0,FPB 38 AL RIFFAH,1,BAHRAIN,Assumed Friend,SeaSurfacePlatformClass,15,GUN CRAFT,SeaSurface,134, ,1,0,9GR-600,RadarClass,1,SURFACE SEARCH (SS),1,8800,8920,221.9755,222.4694,0.2,0.25,,,,,
0,0,FPB 38 AL RIFFAH,1,BAHRAIN,Assumed Friend,SeaSurfacePlatformClass,15,GUN CRAFT,SeaSurface,134, ,1,0,9GR-600,RadarClass,1,SURFACE SEARCH (SS),2,8800,8920,285.3067,286.123,0.2,0.25,,,,,
0,0,FPB 38 AL RIFFAH,1,BAHRAIN,Assumed Friend,SeaSurfacePlatformClass,15,GUN CRAFT,SeaSurface,134, ,1,0,9GR-600,RadarClass,1,SURFACE SEARCH (SS),3,8800,8920,316.957,317.965,0.4,0.5,,,,,
0,0,FPB 38 AL RIFFAH,1,BAHRAIN,Assumed Friend,SeaSurfacePlatformClass,15,GUN CRAFT,SeaSurface,134, ,1,0,9GR-600,RadarClass,1,SURFACE SEARCH (SS),4,8800,8920,331.1258,335.5704,0.2,0.3,,,,,
0,0,FPB 38 AL RIFFAH,1,BAHRAIN,Assumed Friend,SeaSurfacePlatformClass,15,GUN CRAFT,SeaSurface,134, ,1,0,9GR-600,RadarClass,1,SURFACE SEARCH (SS),5,8800,8920,327.8688,338.983,0.15,0.25,,,,,
0,0,FPB 38 AL RIFFAH,1,BAHRAIN,Assumed Friend,SeaSurfacePlatformClass,15,GUN CRAFT,SeaSurface,134, ,1,0,9GR-600,RadarClass,1,SURFACE SEARCH (SS),6,8800,8920,453.5147,455.5808,0.4,0.5,,,,,
0,0,FPB 38 AL RIFFAH,1,BAHRAIN,Assumed Friend,SeaSurfacePlatformClass,15,GUN CRAFT,SeaSurface,134, ,1,0,9GR-600,RadarClass,1,SURFACE SEARCH (SS),7,8800,8920,487.8048,512.8205,1.4,1.5,,,,,
0,0,FPB 38 AL RIFFAH,1,BAHRAIN,Assumed Friend,SeaSurfacePlatformClass,15,GUN CRAFT,SeaSurface,134, ,1,0,9GR-600,RadarClass,1,SURFACE SEARCH (SS),8,8800,8920,1058.201,1070.6638,0.9,1.1,,,,,
0,0,DHOFAR,6,OMAN,Friend ,SeaSurfacePlatformClass,12,FAST ATTACK CRAFT,Seasurface,110, ,1,0,9LV 307,RadarClass,1,FIRE CONTROL (FC),1,15500,17500,99.502,100.5,3.9,4.1,,,,, 
0,0,DHOFAR,6,OMAN,Friend ,SeaSurfacePlatformClass,12,FAST ATTACK CRAFT,Seasurface,110, ,1,0,9LV 307,RadarClass,1,FIRE CONTROL (FC),2,15500,17500,248.756,251.256,9.8,10.2,,,,,
0,0,TNC45 AL FATEH,1,BAHRAIN,Assumed Friend,SeaSurfacePlatformClass,22,MISSILE CRAFT,Seasurface,226, ,1,0,9LV-200,RadarClass,1,FIRE CONTROL (FC),1,15700,17900,83.3333,125,0.18,0.22,,,,,
0,0,TNC45 AL FATEH,1,BAHRAIN,Assumed Friend,SeaSurfacePlatformClass,22,MISSILE CRAFT,Seasurface,226, ,1,0,9LV-200,RadarClass,1,FIRE CONTROL (FC),2,15700,17900,83.3333,125,3,5,,,,,
0,0,TNC45 AL FATEH,1,BAHRAIN,Assumed Friend,SeaSurfacePlatformClass,22,MISSILE CRAFT,Seasurface,226, ,1,0,9LV-200,RadarClass,1,FIRE CONTROL (FC),3,15700,17900,200,333.3333,8,12,,,,,
0,0,BAN YAS,9,UNITED ARAB EMIRATES,Friend,SeaSurfacePlatformClass,12,FAST ATTACK MISSILE,SeaSurface,80, ,1,0,9LV-223,RadarClass,1,FIRE CONTROL (FC),1,15900,17100,83.33,125,3,5,,,,,
0,0,BAN YAS,9,UNITED ARAB EMIRATES,Friend,SeaSurfacePlatformClass,12,FAST ATTACK MISSILE,SeaSurface,80, ,1,0,9LV-223,RadarClass,1,FIRE CONTROL (FC),2,15900,17100,200,333.33,8,12,,,,,
0,0,MUBARRAZ,9,UNITED ARAB EMIRATES,Friend,SeaSurfacePlatformClass,12,FAST ATTACK MISSILE,SeaSurface,179, ,1,0,9LV-223,RadarClass,1,FIRE CONTROL (FC),1,15900,17100,83.33,125,3,5,,,,,
0,0,MUBARRAZ,9,UNITED ARAB EMIRATES,Friend,SeaSurfacePlatformClass,12,FAST ATTACK MISSILE,SeaSurface,179, ,1,0,9LV-223,RadarClass,1,FIRE CONTROL (FC),2,15900,17100,200,333.33,8,12,,,,,
0,0,MURRAY JIB,9,UNITED ARAB EMIRATES,Friend,SeaSurfacePlatformClass,8,CORVETTE,SeaSurface,181, ,1,0,9LV-223,RadarClass,1,FIRE CONTROL (FC),1,15900,17100,83.33,125,3,5,,,,,
0,0,MURRAY JIB,9,UNITED ARAB EMIRATES,Friend,SeaSurfacePlatformClass,8,CORVETTE,SeaSurface,181, ,1,0,9LV-223,RadarClass,1,FIRE CONTROL (FC),2,15900,17100,200,333.33,8,12,,,,,
